Dataset,Seed,Parameter Generation Time,Train set transformation time,Training time,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,0.0251841899007558,1.4205966405570507,0.259112611413002,1.523384040221572,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,1,0.0252907313406467,1.409432731568813,0.2607172522693872,1.5359446816146374,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,2,0.0252024419605731,1.4112358689308169,0.2321278676390648,1.555128199979663,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,3,0.0249714329838752,1.3850809149444103,0.2411184087395668,1.6057269051671028,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,4,0.0253071393817663,1.4901123624294996,0.2430038284510374,1.6439921204000711,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,5,0.0175860412418842,0.8715807888656855,0.232085945084691,1.0221464447677135,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,6,0.0172385890036821,0.8633390609174967,0.2398459017276764,1.0334126520901918,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,7,0.0175536070019006,0.8838070370256901,0.2205973900854587,0.9889430943876504,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,8,0.0175052285194396,0.8438220210373402,0.2232607956975698,0.9784467089921236,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,9,0.0175960771739482,0.875335056334734,0.2225146610289812,0.979904117062688,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,10,0.0174922235310077,0.8552769869565964,0.2204617783427238,0.9941790141165257,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,11,0.0176778603345155,0.8581925313919783,0.230520699173212,1.0375562384724617,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,12,0.0177811346948146,0.902353847399354,0.230400376021862,1.0112900007516146,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,13,0.0176724307239055,0.8759700208902359,0.2385736238211393,1.0139607042074203,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,14,0.0175562128424644,0.8750764839351177,0.2237561643123626,0.9911056645214558,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,15,0.0175122115761041,0.8562479596585035,0.2197692096233368,1.1203867346048355,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,16,0.0175930615514516,0.9705335944890976,0.2443979997187852,1.0336953531950712,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,17,0.0172318760305643,0.863868709653616,0.221309307962656,0.9861625488847494,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,18,0.0175606124103069,0.8562188744544983,0.2210321594029665,0.9789842162281276,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,19,0.0175122488290071,0.855128463357687,0.2340072263032198,1.0674014929682016,0.9933333333333332,0.9933217391304348
AtrialFibrillation,0,0.0367405861616134,0.2575982231646776,0.0150132831186056,0.29756585881114,0.1333333333333333,0.1068376068376068
AtrialFibrillation,1,0.0287037435919046,0.2569091524928808,0.0148437097668647,0.3157023638486862,0.1333333333333333,0.1068376068376068
AtrialFibrillation,2,0.0156570132821798,0.2483710329979658,0.0148483421653509,0.3549661729484796,0.1333333333333333,0.1068376068376068
AtrialFibrillation,3,0.0149005390703678,0.2720362842082977,0.0192194953560829,0.2826493736356497,0.1333333333333333,0.1068376068376068
AtrialFibrillation,4,0.0183255616575479,0.2646309249103069,0.0382297467440366,0.3297043740749359,0.2,0.1581196581196581
AtrialFibrillation,5,0.0121113490313291,0.2014454286545515,0.0175238139927387,0.2622933965176344,0.2,0.1581196581196581
AtrialFibrillation,6,0.0091001279652118,0.238949604332447,0.0236939843744039,0.3191701453179121,0.1333333333333333,0.1068376068376068
AtrialFibrillation,7,0.018890218809247,0.3153474573045969,0.0266591589897871,0.3930852673947811,0.1333333333333333,0.1068376068376068
AtrialFibrillation,8,0.0165873914957046,0.3282251730561256,0.0256358850747346,0.3788186460733413,0.1333333333333333,0.1068376068376068
AtrialFibrillation,9,0.0138796810060739,0.3417659774422645,0.0381530001759529,0.3932593520730734,0.1333333333333333,0.1068376068376068
AtrialFibrillation,10,0.0121431089937686,0.2574251648038625,0.0210093762725591,0.2703836411237716,0.2,0.1581196581196581
AtrialFibrillation,11,0.0113445520401,0.2891713213175535,0.0312998313456773,0.3863121494650841,0.1333333333333333,0.1068376068376068
AtrialFibrillation,12,0.0164946019649505,0.3119600191712379,0.0229177195578813,0.4035563357174396,0.2,0.1581196581196581
AtrialFibrillation,13,0.0150569099932909,0.3312893155962229,0.042916202917695,0.3859139401465654,0.1333333333333333,0.1068376068376068
AtrialFibrillation,14,0.0174384824931621,0.3419653568416834,0.0315098129212856,0.3707646280527115,0.1333333333333333,0.1068376068376068
AtrialFibrillation,15,0.0148285012692213,0.3999396096915006,0.0346281360834836,0.4040180519223213,0.1333333333333333,0.1068376068376068
AtrialFibrillation,16,0.0122617930173873,0.3402533251792192,0.0321297831833362,0.3659008238464594,0.2,0.1581196581196581
AtrialFibrillation,17,0.0137464236468076,0.3067145887762308,0.0308290682733058,0.3994987923651933,0.1333333333333333,0.1068376068376068
