Dataset,Seed,Parameter Generation Time,Train set transformation time,Training time,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,0.0171288289129734,1.5079717952758074,0.2460345309227705,1.2627367209643126,0.99,0.9899826086956522
ArticularyWordRecognition,1,0.0237320940941572,1.0657549239695072,0.2245384566485881,1.0823046397417784,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,2,0.0240215361118316,0.92176528647542,0.2315922547131776,1.0325225573033094,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,3,0.0289795584976673,0.8873151075094938,0.2288764454424381,1.027186555787921,0.9833333333333332,0.9833159420289856
ArticularyWordRecognition,4,0.023337984457612,0.8900554645806551,0.2197223920375108,1.0112438648939133,0.99,0.9899826086956522
ArticularyWordRecognition,5,0.0232406109571456,0.8935451023280621,0.2197416387498378,1.025897903367877,0.99,0.9899826086956522
ArticularyWordRecognition,6,0.0229997523128986,0.886403439566493,0.2205233126878738,1.0338523797690868,0.9833333333333332,0.9833159420289856
ArticularyWordRecognition,7,0.033949552103877,0.8791220039129257,0.2204297482967376,1.010486213490367,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,8,0.0233496967703104,0.859395356848836,0.2205419968813657,1.0014684442430737,0.99,0.9899826086956522
ArticularyWordRecognition,9,0.0235194955021142,0.8758804406970739,0.2205824442207813,1.0170319471508265,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,10,0.0233622230589389,0.8740842919796705,0.2204385157674551,1.012825928628445,0.9866666666666668,0.9866550724637682
ArticularyWordRecognition,11,0.0234114620834589,0.8734873943030834,0.2205897681415081,1.0170883741229773,0.99,0.9899826086956522
ArticularyWordRecognition,12,0.0234687384217977,0.882250215858221,0.2219928782433271,1.0235483683645723,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,13,0.0232375878840684,0.8819773327559233,0.2203168366104364,1.0186590179800987,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,14,0.0231347437947988,0.8721929583698511,0.2203263565897941,1.0119826756417751,0.99,0.9899826086956522
ArticularyWordRecognition,15,0.0233716201037168,0.8726177345961332,0.2207445576786995,1.0124099161475897,0.99,0.9899826086956522
ArticularyWordRecognition,16,0.0232549719512462,0.8816861398518085,0.2203480247408151,1.0235565174371004,0.99,0.9899826086956522
ArticularyWordRecognition,17,0.0228187553584575,0.8656600695103407,0.2202209588140249,1.0029485765844584,0.9866666666666668,0.9866550724637682
ArticularyWordRecognition,18,0.0234111044555902,0.8726484719663858,0.2204143796116113,1.011253900825977,0.9866666666666668,0.9866550724637682
ArticularyWordRecognition,19,0.0233316645026206,0.8709353003650904,0.2206495013087988,1.0173781253397465,0.9866666666666668,0.9866550724637682
AtrialFibrillation,0,0.0089205782860517,0.3207088820636272,0.0298943109810352,0.3652499616146087,0.0666666666666666,0.0444444444444444
AtrialFibrillation,1,0.0167909171432256,0.3667825311422348,0.0292205065488815,0.4384265169501304,0.0666666666666666,0.0444444444444444
AtrialFibrillation,2,0.0172713156789541,0.3391101155430078,0.0319421403110027,0.3806885834783315,0.0666666666666666,0.0444444444444444
AtrialFibrillation,3,0.014136902987957,0.3259253352880478,0.0366617664694786,0.3804537244141102,0.0666666666666666,0.0444444444444444
AtrialFibrillation,4,0.016628423705697,0.340211309492588,0.0349078606814146,0.4076724238693714,0.0666666666666666,0.0444444444444444
AtrialFibrillation,5,0.0152355711907148,0.3333658799529075,0.0287598948925733,0.4449800681322813,0.0666666666666666,0.0444444444444444
AtrialFibrillation,6,0.0176845211535692,0.3318982217460871,0.0317029189318418,0.3629553820937872,0.0666666666666666,0.0444444444444444
AtrialFibrillation,7,0.0174114275723695,0.3443029876798391,0.0260597094893455,0.3877626620233059,0.0666666666666666,0.0444444444444444
AtrialFibrillation,8,0.016667615622282,0.3673024401068687,0.0299911443144083,0.3878179751336574,0.0666666666666666,0.0444444444444444
AtrialFibrillation,9,0.014838084578514,0.34529884532094,0.0124450456351041,0.3789326343685388,0.0666666666666666,0.0444444444444444
AtrialFibrillation,10,0.0184477511793375,0.342962846159935,0.0182887446135282,0.3973330054432153,0.0666666666666666,0.0444444444444444
AtrialFibrillation,11,0.0126806739717721,0.3376352339982986,0.0160076208412647,0.4131060242652893,0.0666666666666666,0.0444444444444444
AtrialFibrillation,12,0.016441211104393,0.3612690828740597,0.0167990922927856,0.3752221595495939,0.0666666666666666,0.0444444444444444
AtrialFibrillation,13,0.0158874541521072,0.3394346944987774,0.0357052199542522,0.3827449586242437,0.0666666666666666,0.0444444444444444
AtrialFibrillation,14,0.018124496564269,0.3272881992161274,0.0315365809947252,0.383480604737997,0.0666666666666666,0.0444444444444444
AtrialFibrillation,15,0.0133528932929039,0.3313730582594871,0.0348989516496658,0.3727785423398018,0.0666666666666666,0.0444444444444444
AtrialFibrillation,16,0.0169741008430719,0.3223029505461454,0.0376005433499813,0.4046884812414646,0.0666666666666666,0.0444444444444444
AtrialFibrillation,17,0.0168874878436326,0.3269259128719568,0.0328508019447326,0.3984708376228809,0.0666666666666666,0.0444444444444444
AtrialFibrillation,18,0.0166361033916473,0.3486936967819929,0.0196289848536252,0.3871863298118114,0.0666666666666666,0.0444444444444444
AtrialFibrillation,19,0.0145355593413114,0.338399713858962,0.0327439531683921,0.4204671494662761,0.0666666666666666,0.0444444444444444
BasicMotions,0,0.0173499640077352,0.1714128591120243,0.0370655208826065,0.2223608568310737,1.0,1.0
BasicMotions,1,0.0267201364040374,0.2004432845860719,0.0365816131234169,0.2438719887286424,1.0,1.0
BasicMotions,2,0.0364263020455837,0.1943037174642086,0.0638240054249763,0.257054653018713,1.0,1.0
BasicMotions,3,0.026584580540657,0.1961894202977419,0.0340779814869165,0.2259826529771089,1.0,1.0
BasicMotions,4,0.0226039178669452,0.1794651988893747,0.0383855160325765,0.2016371898353099,1.0,1.0
BasicMotions,5,0.0237069483846426,0.1615053638815879,0.0332657322287559,0.1869619488716125,1.0,1.0
BasicMotions,6,0.0228444784879684,0.1461888495832681,0.0328901261091232,0.165291678160429,1.0,1.0
BasicMotions,7,0.0152054466307163,0.1387839019298553,0.0361380837857723,0.1502328477799892,1.0,1.0
BasicMotions,8,0.0229553394019603,0.1328263469040393,0.0348090417683124,0.1589552536606788,1.0,1.0
BasicMotions,9,0.0147022437304258,0.1262983437627554,0.0321280881762504,0.1369452867656946,1.0,1.0
BasicMotions,10,0.0198189318180084,0.1277159806340932,0.0324593782424926,0.1413294039666652,1.0,1.0
BasicMotions,11,0.0198284275829792,0.1196310073137283,0.0477833356708288,0.1479580961167812,1.0,1.0
BasicMotions,12,0.0146557167172431,0.1342203002423048,0.0463676620274782,0.1445061359554529,1.0,1.0
BasicMotions,13,0.0145563967525959,0.1291477624326944,0.0247634965926408,0.1497919727116823,1.0,1.0
BasicMotions,14,0.0169746298342943,0.1223433930426836,0.0317052360624074,0.1503912471234798,1.0,1.0
BasicMotions,15,0.0145929176360368,0.124563094228506,0.0324870124459266,0.1487650275230407,1.0,1.0
BasicMotions,16,0.0199565980583429,0.1301880311220884,0.0250386223196983,0.1518108751624822,1.0,1.0
BasicMotions,17,0.0145673584192991,0.1223840396851301,0.0321813076734542,0.149672407656908,1.0,1.0
BasicMotions,18,0.0146289523690938,0.1233401093631982,0.022492541000247,0.1437851246446371,1.0,1.0
BasicMotions,19,0.0197938550263643,0.1269356980919838,0.0329306330531835,0.1409244146198034,1.0,1.0
Cricket,0,0.0145214758813381,3.49691828340292,0.0665825754404068,2.2406350262463093,0.9861111111111112,0.986013986013986
