Dataset,Seed,Parameter Generation Time,Train set transformation time,Training time,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,0.0253394171595573,1.416529922746122,0.3016509478911757,1.5673943711444736,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,1,0.0252425884827971,1.4080690694972873,0.2926505077630281,1.5647003529593349,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,2,0.0252349870279431,1.4102958049625158,0.2048790911212563,1.5616307305172086,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,3,0.0253018075600266,1.4079202422872186,0.2751547209918499,1.5440459977835417,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,4,0.0251990724354982,1.423621199093759,0.2647083196789026,1.5543951448053122,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,5,0.0186506863683462,0.8816224839538336,0.2263169102370739,1.054251093417406,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,6,0.0200785156339406,0.8723446298390627,0.2245547715574503,1.0201810635626316,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,7,0.0211373008787632,0.8661267291754484,0.2343302965164184,1.01776017062366,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,8,0.0210271310061216,0.8595077153295279,0.2279231790453195,1.0118783563375473,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,9,0.0213852263987064,0.8737501837313175,0.2275872696191072,1.0164177976548672,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,10,0.0171642005443573,0.8723618797957897,0.2453324906527996,1.0007214788347485,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,11,0.0201319325715303,0.8688493575900793,0.2302482388913631,1.0156919360160828,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,12,0.0206430908292531,0.875458400696516,0.2469226699322462,1.05059764534235,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,13,0.0175832640379667,0.8930120691657066,0.2281314004212618,1.063207721337676,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,14,0.0206696987152099,0.9065647218376398,0.2323599755764007,1.0101585034281015,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,15,0.0205832887440919,0.8658202476799488,0.227828774601221,0.9834700841456652,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,16,0.0202294345945119,0.8717463742941618,0.2357406727969646,1.0427087433636189,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,17,0.020046480000019,0.8653179481625557,0.231038749217987,0.973099399358034,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,18,0.0201312471181154,0.8625498600304127,0.2367096673697233,1.0044482722878456,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,19,0.0204810239374637,0.864783326163888,0.2261479441076517,1.0047268830239773,0.9933333333333332,0.9933217391304348
AtrialFibrillation,0,0.0143444687128067,0.2521978197619319,0.0193066596984863,0.3058649003505707,0.2,0.1555555555555555
AtrialFibrillation,1,0.0186159834265708,0.2353766495361924,0.0164394536986947,0.3224721336737275,0.2,0.1555555555555555
AtrialFibrillation,2,0.0141139151528477,0.2712189462035894,0.0144851254299283,0.3365081623196602,0.2,0.1555555555555555
AtrialFibrillation,3,0.0139455571770668,0.2823083158582449,0.0233681024983525,0.3101039808243513,0.2,0.1555555555555555
AtrialFibrillation,4,0.014001197181642,0.3027492593973875,0.0242647901177406,0.3063952317461371,0.2,0.1555555555555555
AtrialFibrillation,5,0.0089775491505861,0.2663872931152582,0.0324986353516578,0.39750612154603,0.2,0.1555555555555555
AtrialFibrillation,6,0.0166101418435573,0.3017316106706857,0.0245147943496704,0.3693720679730177,0.2,0.1555555555555555
AtrialFibrillation,7,0.0161030925810337,0.3025653213262558,0.042054958641529,0.3751144092530012,0.2,0.1555555555555555
AtrialFibrillation,8,0.0165159273892641,0.2995875235646963,0.0318104475736618,0.4241623468697071,0.2,0.1555555555555555
AtrialFibrillation,9,0.016150401905179,0.3232601825147867,0.0238905046135187,0.4110653921961784,0.2,0.1555555555555555
AtrialFibrillation,10,0.0089456364512443,0.2530862931162119,0.0286969039589166,0.4392869770526886,0.2,0.1555555555555555
AtrialFibrillation,11,0.0094168987125158,0.3176769856363535,0.0271527096629142,0.4028353989124298,0.2,0.1555555555555555
AtrialFibrillation,12,0.0151145178824663,0.326168030500412,0.0267711523920297,0.3676751516759395,0.2,0.1555555555555555
AtrialFibrillation,13,0.0106483586132526,0.311254309490323,0.0352405477315187,0.3711803611367941,0.2,0.1555555555555555
AtrialFibrillation,14,0.0172217860817909,0.2671488560736179,0.0234903264790773,0.4114656951278448,0.2,0.1555555555555555
AtrialFibrillation,15,0.0165381841361522,0.2997529041022062,0.0292084030807018,0.3769316002726555,0.2,0.1555555555555555
AtrialFibrillation,16,0.0120299272239208,0.2914499528706074,0.0254017692059278,0.3673016019165516,0.2,0.1555555555555555
AtrialFibrillation,17,0.0151315778493881,0.2850258201360702,0.0273488350212574,0.4327507633715868,0.2,0.1555555555555555
AtrialFibrillation,18,0.0163777153939008,0.3039176892489195,0.0394105147570371,0.3813138343393802,0.2,0.1555555555555555
AtrialFibrillation,19,0.0166403483599424,0.27578766644001,0.0335543174296617,0.3743118997663259,0.2,0.1555555555555555
BasicMotions,0,0.0280846478417515,0.1808474957942962,0.0503557361662387,0.2123385854065418,1.0,1.0
BasicMotions,1,0.0288412664085626,0.1946395738050341,0.0462838532403111,0.2313670590519905,1.0,1.0
BasicMotions,2,0.0293449871242046,0.2172524752095341,0.0412918301299214,0.2484056632965803,1.0,1.0
BasicMotions,3,0.0284297373145818,0.20650674123317,0.0495027136057615,0.2486263113096356,1.0,1.0
BasicMotions,4,0.0284836729988455,0.2150273323059082,0.0465574478730559,0.237881913781166,1.0,1.0
BasicMotions,5,0.0215798374265432,0.1703279186040163,0.0748833622783422,0.226728219538927,1.0,1.0
BasicMotions,6,0.0267888121306896,0.1873076036572456,0.0358068794012069,0.2357144486159086,1.0,1.0
BasicMotions,7,0.0268366429954767,0.181382555514574,0.0437159612774848,0.233850548043847,1.0,1.0
BasicMotions,8,0.0284497756510972,0.1840295437723398,0.0322826392948627,0.2361677773296833,1.0,1.0
BasicMotions,9,0.0178060624748468,0.1865422707051038,0.0371958501636981,0.2218246683478355,1.0,1.0
BasicMotions,10,0.0260615926235914,0.1491037774831056,0.0411492716521024,0.2186188735067844,1.0,1.0
BasicMotions,11,0.0264030341058969,0.1869973689317703,0.0373717006295919,0.2348491214215755,1.0,1.0
