Dataset,Seed,Parameter Generation Time,Train set transformation time,Training time,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,0.0171711780130863,1.2566433120518925,0.2301522921770811,1.2104462683200836,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,1,0.0173447038978338,1.0157872308045626,0.2263652570545673,1.0347317047417164,0.9966666666666668,0.9966608695652174
ArticularyWordRecognition,2,0.023479713127017,0.9028100483119488,0.2215873189270496,1.0149866193532944,0.9966666666666668,0.9966608695652174
ArticularyWordRecognition,3,0.0230395160615444,0.8962785005569458,0.2282595038414001,0.9868407063186168,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,4,0.023083658888936,0.8972428049892187,0.2263080067932605,1.018000079318881,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,5,0.0232335720211267,0.909346166998148,0.2286625076085329,1.0172849092632532,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,6,0.0229763686656951,0.8958375528454781,0.2274750638753175,1.0068104304373264,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,7,0.0230763051658868,0.8864721041172743,0.2255593836307525,0.9959384761750698,0.99,0.9899942028985508
ArticularyWordRecognition,8,0.023016395047307,0.8643628880381584,0.2163471188396215,0.9569986090064048,0.9966666666666668,0.9966608695652174
ArticularyWordRecognition,9,0.0232484173029661,0.8771356474608183,0.2232047524303197,1.0062325969338417,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,10,0.0403796229511499,0.877110181376338,0.2181478440761566,0.9775543343275784,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,11,0.0234312005341053,0.8728752918541431,0.2156358994543552,0.9721580110490322,0.9966666666666668,0.9966608695652174
ArticularyWordRecognition,12,0.0234740525484085,0.8831939678639174,0.215751364827156,0.9799214154481888,0.9966666666666668,0.9966608695652174
ArticularyWordRecognition,13,0.0232335403561592,0.8811237867921591,0.2155583724379539,0.9761630166321992,0.9966666666666668,0.9966608695652174
ArticularyWordRecognition,14,0.023161344230175,0.8747181445360184,0.2162812259048223,0.9784752503037452,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,15,0.0233797933906316,0.870663445442915,0.215612081810832,0.9658530447632074,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,16,0.0233033318072557,0.8885689303278923,0.2156730778515339,0.9910664930939674,0.99,0.9899942028985508
ArticularyWordRecognition,17,0.0229038204997777,0.8647745419293642,0.2189532965421676,0.9605294167995452,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,18,0.0232012011110782,0.8721673153340816,0.2191936243325472,0.9678589347749949,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,19,0.0234704706817865,0.871890788897872,0.2173131797462701,0.9673934914171696,0.9933333333333332,0.9933217391304348
AtrialFibrillation,0,0.0089256968349218,0.2277260851114988,0.0248019602149724,0.3404874242842197,0.3333333333333333,0.1851851851851851
AtrialFibrillation,1,0.0129204429686069,0.3330413978546858,0.02675162255764,0.3904330730438232,0.3333333333333333,0.1851851851851851
AtrialFibrillation,2,0.0166652128100395,0.3399598933756351,0.0208233632147312,0.3847229294478893,0.3333333333333333,0.1851851851851851
AtrialFibrillation,3,0.0171280112117528,0.3244569599628448,0.0220451559871435,0.3794786147773266,0.3333333333333333,0.1851851851851851
AtrialFibrillation,4,0.011844202876091,0.3276853710412979,0.0372775010764598,0.433644400909543,0.3333333333333333,0.1851851851851851
AtrialFibrillation,5,0.0258064419031143,0.3911309298127889,0.0444632470607757,0.392130484804511,0.3333333333333333,0.1851851851851851
AtrialFibrillation,6,0.016658866778016,0.3384992964565754,0.0416993629187345,0.3571273479610681,0.3333333333333333,0.1851851851851851
AtrialFibrillation,7,0.0189659725874662,0.3269789796322584,0.0299696959555149,0.3842744920402765,0.3333333333333333,0.1851851851851851
AtrialFibrillation,8,0.0182867404073476,0.333138670772314,0.0263006091117858,0.3863192554563284,0.3333333333333333,0.1851851851851851
AtrialFibrillation,9,0.0141810663044452,0.3533344194293022,0.0341096762567758,0.3869486916810274,0.3333333333333333,0.1851851851851851
AtrialFibrillation,10,0.020546305924654,0.3328124657273292,0.0225661993026733,0.3817594405263662,0.3333333333333333,0.1851851851851851
AtrialFibrillation,11,0.0182838942855596,0.3284627459943294,0.0257115494459867,0.3903717286884784,0.3333333333333333,0.1851851851851851
AtrialFibrillation,12,0.0128206182271242,0.3261038959026336,0.0359465163201093,0.3772914130240679,0.3333333333333333,0.1851851851851851
AtrialFibrillation,13,0.0229660402983427,0.3447628021240234,0.0404869355261325,0.4325535278767347,0.3333333333333333,0.1851851851851851
AtrialFibrillation,14,0.016146833077073,0.3332453612238168,0.0236593075096607,0.3883369844406843,0.3333333333333333,0.1851851851851851
