Dataset,Seed,Parameter Generation Time,Train set transformation time,Training time,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,0.0452893823385238,1.3102991413325071,0.2693891394883394,1.5386623553931713,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,1,0.0445271171629428,1.3290124740451574,0.1866462435573339,1.5523352324962616,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,2,0.0453730672597885,1.3221039548516271,0.1926925685256719,1.539838220924139,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,3,0.044442193582654,1.3199494015425444,0.2379988264292478,1.5495068803429604,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,4,0.0568936374038457,1.4411453530192375,0.2678164765238762,1.5752632729709148,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,5,0.0230711083859205,0.9401536397635936,0.2246286086738109,1.0223900321871042,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,6,0.0229331888258457,0.9125946611166,0.2403013259172439,1.023571491241455,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,7,0.0422937590628862,0.9078163914382458,0.2260104957967996,1.0019087605178356,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,8,0.0228293575346469,0.8704335559159517,0.2341539040207862,0.999864036217332,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,9,0.0232657026499509,0.8896722793579102,0.234971784055233,1.0420136488974094,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,10,0.0229200478643178,0.8852708265185356,0.2316218242049217,1.005872828885913,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,11,0.0233697891235351,0.883633540943265,0.2260165400803089,0.9839506037533284,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,12,0.02350664883852,0.8892682585865259,0.2385079599916935,1.0328258760273457,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,13,0.0234680920839309,0.9025078248232604,0.224457798525691,1.014601729810238,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,14,0.0233523063361644,0.8796436209231615,0.2524207942187786,0.9828029926866292,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,15,0.0232440829277038,0.8810056056827307,0.2373949959874153,0.9952806681394576,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,16,0.0231361053884029,0.9001012519001961,0.2502366509288549,1.0068466439843178,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,17,0.022853098809719,0.8835074920207262,0.2332353591918945,0.97528656385839,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,18,0.0230237208306789,0.8803812637925148,0.2313298378139734,1.0000023543834686,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,19,0.0229775533080101,0.8779443372040987,0.2242391966283321,0.9881186541169882,0.9933333333333332,0.9933217391304348
AtrialFibrillation,0,0.032253298908472,0.244213618338108,0.007345899939537,0.3404521439224481,0.1333333333333333,0.0833333333333333
AtrialFibrillation,1,0.0220161247998476,0.2378796488046646,0.0221671350300312,0.3024983610957861,0.1333333333333333,0.0833333333333333
AtrialFibrillation,2,0.0184996668249368,0.2439607679843902,0.0239328909665346,0.2993812877684831,0.1333333333333333,0.0833333333333333
AtrialFibrillation,3,0.0186438299715518,0.2793314848095178,0.0090719703584909,0.3163773752748966,0.1333333333333333,0.0833333333333333
AtrialFibrillation,4,0.0160488225519657,0.2634229008108377,0.0343530513346195,0.3004270922392607,0.1333333333333333,0.0833333333333333
AtrialFibrillation,5,0.0119503643363714,0.2455190643668174,0.0192054808139801,0.2679147683084011,0.0666666666666666,0.0444444444444444
AtrialFibrillation,6,0.0136719588190317,0.2995151691138744,0.0237066503614187,0.3815738055855036,0.0666666666666666,0.0444444444444444
AtrialFibrillation,7,0.0165789537131786,0.3041267432272434,0.0275569781661033,0.4448012243956327,0.1333333333333333,0.0833333333333333
AtrialFibrillation,8,0.0193218607455492,0.3533453904092312,0.0324374660849571,0.3890820629894733,0.1333333333333333,0.0833333333333333
AtrialFibrillation,9,0.0166274346411228,0.3295344691723585,0.0289149601012468,0.4031249601393938,0.0666666666666666,0.0444444444444444
AtrialFibrillation,10,0.011951770633459,0.2015139367431402,0.0152475293725728,0.2482544872909784,0.0666666666666666,0.0444444444444444
AtrialFibrillation,11,0.0090752597898244,0.2244727034121751,0.0279950778931379,0.3580549154430628,0.0666666666666666,0.0444444444444444
AtrialFibrillation,12,0.0098606012761592,0.3644050657749176,0.0257735960185527,0.3798678740859031,0.1333333333333333,0.0833333333333333
AtrialFibrillation,13,0.0115964766591787,0.333496056497097,0.0261807385832071,0.3834912683814764,0.1333333333333333,0.0833333333333333
AtrialFibrillation,14,0.0165553092956542,0.3226373139768839,0.0397379361093044,0.3842549491673708,0.1333333333333333,0.0833333333333333
AtrialFibrillation,15,0.0126735921949148,0.3312608357518911,0.0328949838876724,0.3934986125677824,0.0666666666666666,0.0444444444444444
AtrialFibrillation,16,0.0245642382651567,0.3371724151074886,0.030455719679594,0.3846917171031236,0.1333333333333333,0.0833333333333333
AtrialFibrillation,17,0.0163482595235109,0.3455938789993524,0.0350166391581296,0.3947172556072473,0.0666666666666666,0.0444444444444444
AtrialFibrillation,18,0.0166151076555252,0.3455921057611704,0.0376574266701936,0.4320372920483351,0.1333333333333333,0.0833333333333333
AtrialFibrillation,19,0.0165983885526657,0.3496466446667909,0.0353180933743715,0.4305992983281612,0.1333333333333333,0.0833333333333333
BasicMotions,0,0.0327825173735618,0.2079180926084518,0.0431450642645359,0.2198607977479696,1.0,1.0
